Bold: Must-have,,"If you paste content from another (Excel) file:
Libreoffice: Edit ? Insert contents ? Choose Unformatted text, select separator accordingly!
Excel: Insert ? contents ? values only",,,,,,,,,,,,,,,,,,,,,,,,,,,Italic: Optional,Choose local language,,#NV,,,,,,,,,"For additional Tags, use this fields:",,,,,,
Name,Country,Street Name,Housenumber,Postal Code,City,POI Type,,,,,,,,,target group for social facility?,,,,,,,,,,,,,,Short description English ,Short description local language,Image Filename/Link,Website,Email-Address,Mail public,Telephone Number,Phone public,Opening Hours,organic,fair-trade,regional,category-tag1,category-tag2,category-tag3,longitude (X),latitude (Y),,Wheelchair accessible
"Criteria/Format: max 254 chars, format > 30 yellow, >50 orange; red if empty and any other entered","Criteria/Format: only list allowed, red if empty and any other entered","Criteria/Format: max 254 chars, red if empty and any other entered; yellow if coords entered instead","Criteria/Format: max 254 chars, red if empty and any other entered; yellow if coords entered instead","Criteria/Format: max 254 chars, red if empty and any other entered; yellow if coords entered instead","Criteria/Format: max 254 chars, red if empty and any other entered; yellow if coords entered instead",only list allowed; red if empty,,,,,,,,,,,,,,,,,,,,,,,Max 254 chars,Max 254 chars,"Max 254 chars, no spaces",Max 254 chars; format: has to start with http,Max 254 chars; format: red if no @ found,only yes/no valid; format: red if not selected and email entered; orange if no; green if yes,red if no + as first char,only yes/no valid; format: red if not selected and email entered; orange if no; green if yes,Max 254 chars,"only „only“,yes,limited,no allowed","only „only“,yes,limited,no allowed","only „only“,yes,limited,no allowed",,,,"only between -180 and 360 allowed, red if one value missing, orange if value 0","only between -180 and 360 allowed, red if one value missing, orange if value 0",,
name,addr:country,addr:street,addr:housenumber,addr:postcode,addr:city,poi_type,amenity,shop,tourism,craft,club,office,man_made,social_facility,social_facility:for,leisure,garden:type,payment:none,natural,access,type,building,landuse,place,dedication,squatted,vacant,internet_access,description,#NV,image,contact:website,contact:email,mail_public,contact:phone,phone_public,opening_hours,organic,fair-trade,regional,category-tag1,category-tag2,category-tag3,lat,lon,,
Example-community-garden-name,FR,examplestreet,42a,4711,exampletown,Community garden,0,0,0,0,0,0,0,0,0,garden,community,0,0,0,0,0,0,0,0,0,0,0,"This is the most exemplary garden ever, focusing on planting example plants.","Der Beispielgarten hat es sich zur Aufgabe gemacht, von jeder Pflanze ein Beispiel zu pflanzen",examplegarden.jpg,https://www.examplegarden.fr,garden@example.com,Yes,+43 12,Yes,Mo-Fr 16:00-18:00; Sa-So 14:00-17:00,only,limited,no,community garden,intercultural garden,permaculture,-180,90,,
a12345678901234567890123456789012345678901234567890,DE,bl,,,,Community garden,0,0,0,0,0,0,0,0,0,garden,community,0,0,0,0,0,0,0,0,0,0,0,,,,examblegarden.fr,,,,,,limited,,,,,,,,,
,AT,,,,,animal shelter,animal_shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,example space bla.jpg,,a,No,dsada,No,,,,,,,,0,,,
,AD,,,,,antiques shop,0,antiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,@,,,,,,,,,,,1,1,,
Bold: Must-have,,,,,,zoo,0,0,zoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://-links in descriptions are not good and are marked orange,,,ab,,000,,,,,,,,,,,,
,,,,,,Basket maker ,0,0,0,basket_maker ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,a,,,,,,,,,,,,,,
,,,,,,consumer cooperative (food coop),0,0,0,0,foodcoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alt
Enter","Alt
Enter wird rot",,,,,,,,,,,,,,,,,
,,,,,,Company office,0,0,0,0,0,company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,File:image_name.jpg,,a@b,Yes,,,,,,,,,,2,1,,
,,,,,,,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,,,,,a.b.a.@.com,,,,,,,,,,,"2,1215",,,
,,,,,,assisted living place,social_facility,0,0,0,0,0,0,assisted_living,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,http://domain.tld/path/to/image.jpg,,,,,,,,,,,,,,,,
,,,,,,retirement home,social_facility,0,0,0,0,0,0,group_home,senior,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,a@bb.com,,,,,,,,,,,,,,
,,,,,,Give-away shops,0,*,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,,
,,,,,,fruit-tree,0,0,0,0,0,0,0,0,0,0,0,0,tree,public,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
